PT	AU	BA	BE	GP	AF	BF	CA	TI	SO	SE	BS	LA	DT	CT	CY	CL	SP	HO	DE	ID	AB	C1	C3	RP	EM	RI	OI	FU	FP	FX	CR	NR	TC	Z9	U1	U2	PU	PI	PA	SN	EI	BN	J9	JI	PD	PY	VL	IS	PN	SU	SI	MA	BP	EP	AR	DI	DL	D2	EA	PG	WC	WE	SC	GA	PM	OA	HC	HP	DA	UT
J	Cabane, H; Farias, K				Cabane, Hebert; Farias, Kleinner			On the impact of event-driven architecture on performance: An exploratory study	FUTURE GENERATION COMPUTER SYSTEMS-THE INTERNATIONAL JOURNAL OF ESCIENCE				Article						Event-driven architecture; Performance; Empirical study; Distributed applications; Software modularity; Monolithic application		Event-driven architecture has been widely adopted in the software industry in recent years. This adoption is motivated by the increase in software modularity, and mainly the desired performance of decomposed monolithic applications. Although it has become popular, the current literature lacks studies that demonstrate the impact of event-driven architecture on performance. Hence, developers and architects end up adopting event-driven architecture without empirical evidence, but considering "expert advice."This study, therefore, reports an empirical study on the impact of the adoption of event-driven architecture on performance. For this, the performance of an application implemented with an event-based architecture was compared with the performance of the same application implemented using a monolithic architecture. The comparison was made using metrics such as CPU usage, memory, response time, throughput, and total packages sent and received. The results, supported by statistical tests, show that the monolithic architecture, compared to the event-driven architecture, consumes less computational resources and has better response times. Finally, this study reflects on the adoption of event-driven architecture, as well as points out challenges and implications that need to be considered by the scientific community in future research.	[Cabane, Hebert; Farias, Kleinner] Univ Vale Rio Sinos Unisinos, PPGCA, Ave Unisinos,950, Sao Leopoldo, RS, Brazil	Universidade do Vale do Rio dos Sinos (Unisinos)	Farias, K (corresponding author), Univ Vale Rio Sinos Unisinos, PPGCA, Ave Unisinos,950, Sao Leopoldo, RS, Brazil.	kleinnerfarias@unisinos.br						[Anonymous], 2011, ISO/IEC 25010; Barber S, 2004, WSE 2004: SIXTH IEEE INTERNATIONAL WORKSHOP ON WEB SITE EVOLUTION, PROCEEDINGS, P51, DOI 10.1109/WSE.2004.10002; Blinowski G, 2022, IEEE ACCESS, V10, P20357, DOI 10.1109/ACCESS.2022.3152803; Boner J., 2014, The reactive manifesto; Bucchiarone A, 2018, IEEE SOFTWARE, V35, P50, DOI 10.1109/MS.2018.2141026; Bukhsh ZA, 2015, 2015 12TH INTERNATIONAL JOINT CONFERENCE ON E-BUSINESS AND TELECOMMUNICATIONS (ICETE), VOL 2, P213; Campbell D.T., 1999, Social Experimentation, V1; D'Avila LF, 2020, J SYST SOFTWARE, V159, DOI 10.1016/j.jss.2019.110443; Djogic E, 2018, 2018 41ST INTERNATIONAL CONVENTION ON INFORMATION AND COMMUNICATION TECHNOLOGY, ELECTRONICS AND MICROELECTRONICS (MIPRO), P1411, DOI 10.23919/MIPRO.2018.8400254; Falatiuk Hennadii, 2019, 2019 IEEE International Scientific-Practical Conference Problems of Infocommunications, Science and Technology (PIC S&T). Proceedings, P229, DOI 10.1109/PICST47496.2019.9061407; Farias Kleinner, 2012, Model Driven Engineering Languages and Systems. Proceedings 15th International Conference, MODELS 2012, P219, DOI 10.1007/978-3-642-33666-9_15; Farias K, 2015, SOFTW SYST MODEL, V14, P1349, DOI 10.1007/s10270-014-0408-2; Farias K, 2014, SOFTW SYST MODEL, V13, P1473, DOI 10.1007/s10270-012-0308-2; Farias K, 2013, LECT NOTES COMPUT SC, V8107, P639, DOI 10.1007/978-3-642-41533-3_39; Garcia A, 2006, LECT NOTES COMPUT SC, V3880, P36; Jiang ZM, 2015, IEEE T SOFTWARE ENG, V41, P1091, DOI 10.1109/TSE.2015.2445340; Kaur A, 2019, ADV INTELL SYST COMP, V731, P83, DOI 10.1007/978-981-10-8848-3_8; Laigner R, 2020, EUROMICRO CONF PROC, P213, DOI 10.1109/SEAA51224.2020.00045; Martin RobertC., 2017, CLEAN ARCHITECTURE; Mitchell M.L., 2012, RES DESIGN EXPLAINED; Oliveira A, 2018, COMPUT IND, V96, P86, DOI 10.1016/j.compind.2018.01.002; Pienwittayasakul C., 2014, INT C COMP TECHN INF, P397; Pressman R., 2016, Engenharia de Software - 8a Edicao; Rahmatulloh A., 2022, INT C ADV DAT SCI E, P1; Richards M., 2015, Microservices vs Service Oriented Architecture; Rombach H.D., 1994, Encycl. Softw. Eng., V1, P6; Rubert M, 2022, COMPUT STAND INTER, V81, DOI 10.1016/j.csi.2021.103588; Schipor OA, 2019, INFORM SOFTWARE TECH, V109, P43, DOI 10.1016/j.infsof.2019.01.006; Smith S., 2017, Architecting modern web applications with ASP .NET core and microsoft azure, P10; Stopford B., 2018, Designing Event-Driven Systems, First; Tapia F, 2020, APPL SCI-BASEL, V10, DOI 10.3390/app10175797; Tragatschnig S, 2018, INFORM SOFTWARE TECH, V100, P133, DOI 10.1016/j.infsof.2018.04.005; Urdangarin R.G., 2021, 17 BRAZ S INF SYST; Vieira RD, 2020, PROCEEDINGS OF 16TH BRAZILIAN SYMPOSIUM ON INFORMATION SYSTEMS ON DIGITAL TRANSFORMATION AND INNOVATION, SBSI 2020, DOI 10.1145/3411564.3411580; Witte PA, 2020, IEEE T PARALL DISTR, V31, P2032, DOI 10.1109/TPDS.2020.2982626; Wohlin C., 2012, Computer Science, DOI 10.1007/978-3-642-29044-2	36	1	1	1	5									APR	2024	153						52	69		10.1016/j.future.2023.10.021	http://dx.doi.org/10.1016/j.future.2023.10.021		NOV 2023										2024-11-02	WOS:001124861900001
C	Cao, H; Yang, X		Lodding, H; Riedel, R; Thoben, KD; VonCieminski, G; Kiritsis, D		Cao, Hui; Yang, Xing			Auto-configurable Event-Driven Architecture for Smart Manufacturing	ADVANCES IN PRODUCTION MANAGEMENT SYSTEMS: THE PATH TO INTELLIGENT, COLLABORATIVE AND SUSTAINABLE MANUFACTURING	IFIP Advances in Information and Communication Technology			Proceedings Paper	International IFIP WG 5.7 Conference on Advances in Production Management Systems (APMS)	SEP 03-07, 2017	Hamburg, GERMANY			Event-driven architecture; Smart manufacturing system; Ontology	MANAGEMENT	In order to meet the ever-changing customer demands, smart manufacturing needs to intelligently integrate and coordinate the entire manufacturing supply chain. Event-driven architecture has been considered as a promising enabler for smart manufacturing. However, in the primitive event-driven architecture all components work in parallel, and there are few frameworks or standards that deal with organizing and managing the components. This paper proposes an ontology based holonic event-driven architecture for smart manufacturing systems. Powered by the developed ontology model and Semantic Web technology, the ontology based architecture enables the distributed components in a smart manufacturing system to be configured autonomously and collaborate with each other even when they don't know much about their counterpart.	[Cao, Hui; Yang, Xing] Tsinghua Univ, Dept Ind Engn, Beijing, Peoples R China	Tsinghua University	Cao, H (corresponding author), Tsinghua Univ, Dept Ind Engn, Beijing, Peoples R China.	caohui@tsinghua.edu.cn						Antoniou G, 2003, IN HAND I S, P67; Babiceanu RF, 2006, J INTELL MANUF, V17, P111, DOI 10.1007/s10845-005-5516-y; Chandy K.M., 2009, ENCY DATABASE SYSTEM, P1040, DOI [10.1007/978-0-387-39940-9570, DOI 10.1007/978-0-387-39940-9570]; Davis J, 2012, COMPUT CHEM ENG, V47, P145, DOI 10.1016/j.compchemeng.2012.06.037; del Val E, 2014, AUTON AGENT MULTI-AG, V28, P1, DOI 10.1007/s10458-012-9210-0; Dunkel J, 2011, EXPERT SYST APPL, V38, P6530, DOI 10.1016/j.eswa.2010.11.087; Feeney AB, 2015, J COMPUT INF SCI ENG, V15, DOI 10.1115/1.4029050; Kasakow G, 2016, PROC CIRP, V57, P434, DOI 10.1016/j.procir.2016.11.075; Kong J, 2009, COMPUT IND ENG, V57, P14, DOI 10.1016/j.cie.2008.08.019; Kumaraguru S, 2014, IFIP ADV INF COMM TE, V440, P175; Leitao P., 2013, SERVICE ORIENTATION, V472, DOI [10.1007/978-3-642-35852-4_3, DOI 10.1007/978-3-642-35852-4_3]; Leitao P, 2009, ENG APPL ARTIF INTEL, V22, P979, DOI 10.1016/j.engappai.2008.09.005; Masoumzadeh A., 2010, Proceedings of the 2010 IEEE Second International Conference on Social Computing (SocialCom 2010). the Second IEEE International Conference on Privacy, Security, Risk and Trust (PASSAT 2010), P751, DOI 10.1109/SocialCom.2010.116; SMLC, 2011, Implementing 21st Century Smart Manufacturing: Workshop Summary Report; Studer R, 1998, DATA KNOWL ENG, V25, P161, DOI 10.1016/S0169-023X(97)00056-6; Taylor H., 2009, BOOK EVENT DRIVEN AR; Theorin A, 2017, INT J PROD RES, V55, P1297, DOI 10.1080/00207543.2016.1201604	17	5	5	0	10										2017	513						30	38		10.1007/978-3-319-66923-6_4	http://dx.doi.org/10.1007/978-3-319-66923-6_4												2024-11-02	WOS:000578252600004
C	Kannan, R; Jo, JH; Go, HS		Catarci, T; Abadi, A; Wasserman, AI		Kannan, Ramasamy; Jo, Jae-Hyun; Go, Hyun Sung			Improved Event Driven Architecture for Tizen Sensor Framework	PROCEEDINGS OF THE 1ST INTERNATIONAL CONFERENCE ON MOBILE SOFTWARE ENGINEERING AND SYSTEMS (MOBILESOFT 2014)				Proceedings Paper	1st International Conference on Mobile Software Engineering and Systems (MOBILESoft )	JUN 02-03, 2014	Hyderabad, INDIA			Tizen; Sensors; Sensor framework; Event driven architecture		In this paper, we describe in detail the new event driven architecture for the sensor framework to be used in Tizen. Tizen is an open source, standards-based software platform supported by leading mobile operators, device manufacturers, and silicon suppliers for multiple device categories such as smartphones, tablets, netbooks, in-vehicle infotainment devices, and smart TVs. The Tizen sensor framework before release version 3.0 supports a polling based architecture where the request for sensor events is polled from the applications. The new architecture that will be supported from Tizen 3.0 release would support an event driven architecture, where the sensor events are notified to the applications from the sensor server whenever the events become available in the server. Problems such as dropping of events and duplicate events were observed in the polling based sensor framework architecture when polled events were requested at an interval below 200 milliseconds. With mobile applications requiring an event delivery interval range between 1 millisecond and 1 second, the polling based architecture would be replaced with a new event driven architecture. The new event driven architecture has been designed and implemented to overcome the event handling issues. This paper provides insight into the two Tizen sensor framework architectures and a comparison is made based on our analysis, observations and results. With both architectures having their own advantages and disadvantages, we also look at use cases where both architectures can be used.	[Kannan, Ramasamy] Samsung Res India Bangalore, 2870 Orion Bldg,Outer Ring Rd, Bangalore 560037, Karnataka, India; [Jo, Jae-Hyun; Go, Hyun Sung] Samsung Mobile Comm, SLP R&D Team, Suwon 443742, Gyeonggi Do, South Korea		Kannan, R (corresponding author), Samsung Res India Bangalore, 2870 Orion Bldg,Outer Ring Rd, Bangalore 560037, Karnataka, India.							Love R., 2007, Linux System Programming: Talking Directly to the Kernel and C Library; Love R., 2010, Linux Kernel Development, V3rd; Schmidt D., 2000, Pattern-Oriented Software Architecture, Patterns for Concurrent and Networked Objects, V2	3	0	0	1	8										2014							75	78		10.1145/2593902.2593922	http://dx.doi.org/10.1145/2593902.2593922												2024-11-02	WOS:000380927500019
C	Filipponi, L; Vitaletti, A; Landi, G; Memeo, V; Laura, G; Pucci, P		Mauri, JL; Hovem, JM; Vasseur, JP; Dini, C		Filipponi, Luca; Vitaletti, Andrea; Landi, Giada; Memeo, Vincenzo; Laura, Giorgio; Pucci, Paolo			Smart City: An Event Driven Architecture for Monitoring Public Spaces with Heterogeneous Sensors	2010 FOURTH INTERNATIONAL CONFERENCE ON SENSOR TECHNOLOGIES AND APPLICATIONS (SENSORCOMM)				Proceedings Paper	4th International Conference on Sensor Technologies and Applications (SENSORCOMM)	JUL 18-25, 2010	Mestre, ITALY			Event Driven Architecture; Smart Spaces; Heterogeneous Sensors		In this paper, we present the Smart City Architecture developed in the context of the ARTEMIS JU SP3 SOFIA project. It is an Event Driven Architecture that allows the management and cooperation of heterogeneous sensors for monitoring public spaces. The main components of the architecture are implemented in a testbed on a subway scenario with the objective to demonstrate that our proposed solution, can enhance the detection of anomalous events and simplify both the operators tasks and the communications to passengers in case of emergency.	[Filipponi, Luca; Vitaletti, Andrea] SAPIENZA Univ Roma, Rome, Italy; [Landi, Giada; Memeo, Vincenzo] Nextworks, New York, NY USA; [Laura, Giorgio; Pucci, Paolo] Elsagdatamat, Rome, Italy	Sapienza University Rome	Filipponi, L (corresponding author), SAPIENZA Univ Roma, Rome, Italy.	filipponi@dis.uniroma1.it; vitale@dis.uniroma1.it; g.landi@nextworks.it; v.memeo@nextworks.it; Giorgio.Laura@elsagdatamat.com; Paolo.Pucci@elsagdatamat.com						[Anonymous], NOT WORLD OP ARCH IN; [Anonymous], CROSSBOWS TELOSB MOT; [Anonymous], SMART M3; Baader F., 2003, DESCRIPTION LOGIC HD; Brachman R.J., 2004, Knowledge Representation and Reasoning, V1st; Gomez-Perez A., 2004, Ontological Engineering, V2nd, P1; Gomez-Perez Asuncion, 2004, M PAC 09	7	98	106	0	25										2008							281	286		10.1109/SENSORCOMM.2010.50	http://dx.doi.org/10.1109/SENSORCOMM.2010.50												2024-11-02	WOS:000296392600048
J	Sboner, A; Simi, M; Gorski, K; Delpe, P; Fernandez, E; Solomon, J; Tang, J; Zisimopoulos, P; Sigaras, A				Sboner, A.; Simi, M.; Gorski, K.; Delpe, P.; Fernandez, E.; Solomon, J.; Tang, J.; Zisimopoulos, P.; Sigaras, A.			An Event-Driven Architecture to Simplify Systems Communication in the Molecular Laboratory	JOURNAL OF MOLECULAR DIAGNOSTICS				Meeting Abstract	Annual Meeting of the Association-for-Molecular-Pathology (AMP)	NOV 14-18, 2023	Salt Lake City, UT						[Sboner, A.; Simi, M.; Gorski, K.; Delpe, P.; Fernandez, E.; Solomon, J.; Tang, J.; Zisimopoulos, P.; Sigaras, A.] Weill Cornell Med, New York, NY USA	Cornell University; Weill Cornell Medicine									0	0	0	0	0									NOV	2023	25	11		S		I009	S78	S79															2024-11-02	WOS:001145525900231
C	Levina, O; Stantchev, V		Sasaki, H; Bellot, GO; Ehmann, M; Dini, O		Levina, Olga; Stantchev, Vladimir			Realizing Event-Driven SOA	2009 FOURTH INTERNATIONAL CONFERENCE ON INTERNET AND WEB APPLICATIONS AND SERVICES				Proceedings Paper	4th International Conference on Internet and Web Applications and Services	MAY 24-28, 2009	Venice, ITALY			web services; event-driven architecture; service-oriented architecture; business events; business rules		Event-driven architecture is gaining momentum in research and application areas as it promises enhanced responsiveness and asynchronous communication. The combination of event-driven and service-oriented architectural paradigms and web service technologies provide a viable possibility to achieve these promises. This paper outlines an architectural design and accompanying implementation technologies for its realization as a web services-based event-driven SOA.	[Levina, Olga] Tech Univ Berlin, SOA, D-10578 Berlin, Germany; [Stantchev, Vladimir] TU Berlin, Serv Res Grp, Fachhochschule Oekonomie, FOM, Berlin, Germany	Technical University of Berlin; Technical University of Berlin	Levina, O (corresponding author), Tech Univ Berlin, SOA, D-10578 Berlin, Germany.	olga.levina@sysedv.tu-berlin.de; stantchev@computer.org						ANDRIEUX A, 2004, GLOB GRID F IN PRESS; Baghdadi Y., 2005, J INFORM SCI E BUSIN, V3, P151; BATINI C, 1986, COMPUT SURV, V18, P323, DOI 10.1145/27633.27634; Bauer D, 2008, IBM SYST J, V47, P237, DOI 10.1147/sj.472.0237; Berry RF, 2008, IBM SYST J, V47, P197, DOI 10.1147/sj.472.0197; Erl T., 2007, SOA Principles of Service Design; Frolund S, 1998, PROCEEDINGS OF THE FOURTH USENIX CONFERENCE ON OBJECT-ORIENTED TECHNOLOGIES AND SYSTEMS, P1; Harikumar AK, 2005, PROCEEDINGS OF THE 2005 IEEE INTERNATIONAL CONFERENCE ON INFORMATION REUSE AND INTEGRATION, P542; HERBST H, 1994, IFIP TRANS A, V55, P29; KRALLMANN H, 2008, P 8 INT WORKSH AUT S, V10, P127; Lamanna DD, 2003, NINTH IEEE WORKSHOP ON FUTURE TRENDS OF DISTRIBUTED COMPUTING SYSTEMS, PROCEEDINGS, P100, DOI 10.1109/FTDCS.2003.1204317; LUCKHAM DC, 1998, COMPLEX EVENT PROCES; Ludwig H., 2002, WEB SERVICE LEVEL AG; Michelson B.M., 2006, EVENT DRIVEN ARCHITE; Miller G, 2003, COMMUN ACM, V46, P64, DOI 10.1145/777313.777343; Papazoglou MP, 2007, COMPUTER, V40, P38, DOI 10.1109/MC.2007.400; Papazoglou MP, 2003, FOURTH INTERNATIONAL CONFERENCE ON WEB INFORMATION SYSTEMS ENGINEERING, PROCEEDINGS, P3; PICK J, 2007, GEO BUSINESS GIS DIG; POLZE A, 1998, P 24 EUR C NETW COMP, V2, P997; Stantchev V, 2006, IEE P-SOFTW, V153, P31, DOI 10.1049/ip-sen:20050017; STANTCHEV V, 2009, HIGH ASSURA IN PRESS, P127; Stantchev V., 2008, ARCHITECTURAL TRANSL; TOSIC V, 2002, WEB SERV E BUS SEM W; VANHOOF J, 2008, EDA EXTENDS SOA WHY; WEERAWARANA S, 2005, WEB SERVICES PLATFOR	25	21	25	0	7										2009							37	+		10.1109/ICIW.2009.14	http://dx.doi.org/10.1109/ICIW.2009.14												2024-11-02	WOS:000274563200007
C	Joseph, J; Clementking, A		Mahadevan, V; Zhou, JH; Ng, A		Joseph, Joby; Clementking, A.			Event Driven Architecture Through Nano Computing Models	PROCEEDINGS OF THE 2009 INTERNATIONAL CONFERENCE ON SOFTWARE TECHNOLOGY AND ENGINEERING				Proceedings Paper	International Conference on Software Technology and Engineering	JUL 24-26, 2009	Chennai, INDIA					This paper is a study on the popular web business model of Event Driven Architecture. In the IT world of business and services, every response of business is dependent on many other related features. In the service related models, one architecture that is winning much appreciation is the Event Driven Architecture. This paper tries to study the Event Driven nature common in business systems and tries to propose a support architecture for such model from the Nano Computing Arena. The model that we propose is by incorporating the Event Driven Nature at both process and design level. Reconfigurable architectures, which are emerging areas of research, seem to be right candidates for this. The paper is an attempt to bring together the ideas of this Event oriented flow at every level of the system.	[Joseph, Joby; Clementking, A.] St Anthonys Coll, Dept Comp Sci, Shillong 793001, Meghalaya, India		Joseph, J (corresponding author), St Anthonys Coll, Dept Comp Sci, Shillong 793001, Meghalaya, India.							BECKETT P, 2002, NANOCOMPUTER ARCHITE; Chandy M.K., 2007, WHAT IS EVENT DRIVEN; GOLDSTEIN C, 2001, P 28 ANN INT S COMP; Michelson B.M., 2006, EVENT DRIVEN ARCHITE; PAPACHRISTOU C, 2005, P MALPD INT C WASH D	5	0	0	0	0										2009							84	87															2024-11-02	WOS:000271566900016
C	Astrova, I; Koschel, A; Kleiner, C; Nitz, S			IEEE	Astrova, Irina; Koschel, Arne; Kleiner, Carsten; Nitz, Stefan			Cloud-based Notification Distribution	2ND ACM INTERNATIONAL CONFERENCE ON MOBILE SOFTWARE ENGINEERING AND SYSTEMS MOBILESOFT 2015				Proceedings Paper	Second ACM International Conference on Mobile Software Engineering and Systems MOBILESoft 2015	MAY 16-17, 2015	Florence, ITALY			notification distribution; mobile device management; interruption management; MetaXA (Metadata-processing XMPP-based event-driven Architecture); complex event processing (CEP); IaaS (Infrastructure-as-a-Service) cloud; mobile computing		For notification distribution, we have designed and implemented a mobile device management system called MetaXA. MetaXA is based on an event-driven architecture combined with the complex event processing technology. In this paper, we propose an approach to bringing MetaXA into the cloud computing domain, without having to change its architecture.	[Astrova, Irina] Tallinn Univ Technol, Inst Cybernet, Tallinn, Estonia; [Koschel, Arne; Kleiner, Carsten] Hannover Univ Appl Sci & Arts, Dept Comp Sci, Fac 4, Hannover, Germany; [Nitz, Stefan] Edataconsulting GmbH, Gelsenkirchen, Germany	Tallinn University of Technology; Hochschule Hannover-University of Applied Sciences & Arts	Astrova, I (corresponding author), Tallinn Univ Technol, Inst Cybernet, Tallinn, Estonia.	irina@cs.ioc.ee; akoschel@acm.org; ckleiner@acm.org; stefan.nitz@edataconsulting.de						[Anonymous], P SCI INF C SAI 2014; [Anonymous], P 56 INT S ELMAR; [Anonymous], P 13 IEEE INT S SIGN; Astrova I., 2013, P 4 INT C CLOUD COMP, P73; Koschel A., P INT C INF SOC IEEE, P251	5	0	0	0	0										2015							154	155		10.1109/MobileSoft.2015.41	http://dx.doi.org/10.1109/MobileSoft.2015.41												2024-11-02	WOS:000380452300034
C	Petrasch, R		Unger, H; Sodsee, S; Meesad, P		Petrasch, Roland			Transformation of State Machines for a Microservice-Based Event-Driven Architecture: A Proof-of-Concept	RECENT ADVANCES IN INFORMATION AND COMMUNICATION TECHNOLOGY 2018	Advances in Intelligent Systems and Computing			Proceedings Paper	14th International Conference on Computing and Information Technology (IC2IT)	JUL 05-06, 2018	Chiang Mai, THAILAND			Statechart; FSM; UML state machine; Model transformation; Microservice; Event-driven architecture; State and workflow engine; Choreography		The implementation of a state machine for a system or a subsystem in the form of an event-driven architecture (EDA) in a microservice environment requires model transformations. This paper presents a model-to-model transformation for this case based on UML state machines, UML class diagrams for the microservice architecture, a mathematical specification of the transformations and the implementation of the transformation with QVTo. A run-time state or workflow engine as a single-point-of-failure can be avoided with the choreographic and event-driven approach persevering the ability to generate a state machine as an additional system component that provides the advantages of a state or workflow engine features like monitoring, and visualization.	[Petrasch, Roland] Thammasat Univ, Fac Sci & Technol, Bangkok, Thailand	Thammasat University	Petrasch, R (corresponding author), Thammasat Univ, Fac Sci & Technol, Bangkok, Thailand.	roland.petrasch@gmail.com						Alagarasan V., 7 MICROSERVICES ANTI; Amundsen M., 2016, MICROSERVICE ARCHITE; [Anonymous], 2015, OMG UN MOD LANG OMG; Bruns R., 2010, Event-Driven Architecture; Fowler M, EVENT LOGS STATE FLO; Fowler Martin., CQRS; Gill A., 1962, Introduction to the Theory of Finite-State Machines; HAREL D, 1987, SCI COMPUT PROGRAM, V8, P231, DOI 10.1016/0167-6423(87)90035-9; Hohpe G., 2012, Enterprise Integration Patterns: Designing, Building, and Deploying Messaging Solutions, V15; Krause L., 2015, Microservices: Patterns and Applications: Designing Fine-Grained Services by Applying Patterns; Lewis J., MICROSERVICES DEFINI; Liu S, 2013, LECT NOTES COMPUTER, V7940; Microsoft Developer Network, STAT MACH WORKFL; Morris B., BIG IS MICROSERVICE; Netflix Conductor, MICR ORCH; Newman S., 2015, BUILDING MICROSERVIC; OMG, 2008, MOF MOD TEXT TRANSF; OMG (Object Management Group), 2016, MOF QUER VIEW TRANSF; Richardson C., 2016, Refactoring a Monolith into Microservices; Rozenberg G., 1998, Lectures on Petri Nets I: Basic Models. Advances in Petri Nets, P12; Rucker B., WHY SERVICE COLLABOR; Tikhonova T, 2015, SOFTWARE TECHNOLOGIE, P344; Webster C., 2016, APIS MICROSERVICES W; Wolf O., INTRO MICROSERVICES	24	0	0	0	7										2019	769						327	336		10.1007/978-3-319-93692-5_32	http://dx.doi.org/10.1007/978-3-319-93692-5_32												2024-11-02	WOS:000460559700032
C	Grauer, M; Karadgi, S; Metz, D; Schäfer, W		ZurMuehlen, M; Su, JW		Grauer, Manfred; Karadgi, Sachin; Metz, Daniel; Schaefer, Walter			Online Monitoring and Control of Enterprise Processes in Manufacturing Based on an Event-Driven Architecture	BUSINESS PROCESS MANAGEMENT WORKSHOPS	Lecture Notes in Business Information Processing			Proceedings Paper	BPM 2010 Conference	SEP 13-15, 2010	Stevens Inst Technol, Hoboken, NJ		Stevens Inst Technol	event-driven architecture; enterprise integration; online monitoring and control; complex event processing	INTEGRATION; BUSINESS; FRAMEWORK	Manufacturing enterprises strive for improvements in their monitoring and control of enterprise processes (i.e., business and manufacturing processes) with intention to sustain competitive advantages, and achieve higher degree of flexibility and adaptability of enterprise processes. Hence in the current contribution, a framework based on event driven architecture is elaborated which can be employed to realize enterprise integration, and enhance online monitoring and control of enterprise processes. A process model is been presented that assists the introduction, configuration and implementation of the envisaged framework. The framework is composed of following components: data collection engine, data aggregation engine, process database, complex event processing engine, and process visualization clients. Finally, the framework has been validated in an industrial scenario.	[Grauer, Manfred; Karadgi, Sachin; Metz, Daniel; Schaefer, Walter] Univ Siegen, Inst Informat Syst, D-57068 Siegen, Germany	Universitat Siegen	Grauer, M (corresponding author), Univ Siegen, Inst Informat Syst, Hoelderlinstr 3, D-57068 Siegen, Germany.	grauer@fb5.uni-siegen.de; karadgi@fb5.uni-siegen.de; metz@fb5.uni-siegen.de; jonas@fb5.uni-siegen.de						Aier S, 2008, WIRTSCHAFTSINF, V50, P292, DOI 10.1365/s11576-008-0062-9; [Anonymous], 2005, 157042000AMD12005 IS; [Anonymous], 62264 IEC; [Anonymous], JAVA AGENT DEV FRAME; [Anonymous], Drools-Fusion]; [Anonymous], 2007, 5600 VDI 1; BOHN H, 2006, INT C MOB COMM LEARN; CAMMERT M, 2006, P IEEE C DAT ENG ICD, P168; CHAPPELL D, 2005, ENTERPRISE SERVICE B; Chen D, 2004, INT J COMPUT INTEG M, V17, P235, DOI 10.1080/09511920310001607087; DESOUZA LMS, 2008, INTERNET THINGS; *DIN EN, 2003, 615122 DIN EN; DROBIK A, 2002, GARTNER DEFINITION R; Giachetti RE, 2004, INT J PROD RES, V42, P1147, DOI 10.1080/00207540310001622430; GRAUER M, 2009, AISC, V66, P1467; GRAUER M, 2010, P MULT WIRTSCH, P1511; Grauer M, 2010, SECOND INTERNATIONAL CONFERENCE ON INFORMATION, PROCESS, AND KNOWLEDGE MANAGEMENT: EKNOW 2010, P13, DOI 10.1109/eKNOW.2010.14; KARNOUSKOS S, 2009, P 13 IFAC S INF CONT, P2127; Karnouskos S, 2007, IEEE INT C EMERG, P293; Kjaer AP, 2003, IEEE CONTR SYST MAG, V23, P50, DOI 10.1109/MCS.2003.1251181; Kletti J., 2007, Manufacturing execution system-MES; Lasi H., 2010, PRODUCTIVITY MANAGEM, P29; Lee J, 2003, COMMUN ACM, V46, P54, DOI 10.1145/606272.606273; Linthicum DavidS., 2003, Next Generation Application Integration: From Simple Information to Web Services; Luckham D., 2008, Event processing glossary - Version 1.1; MCCOY D, 2001, COM139992 GARTN; Neaga EI, 2005, INT J PROD RES, V43, P1089, DOI 10.1080/00207540412331322939; Panetto H, 2008, COMPUT IND, V59, P641, DOI 10.1016/j.compind.2007.12.010; Sauer O, 2006, COMPUT CONTROL ENG, V17, P32, DOI 10.1049/cce:20060305; SCHEER A, 1994, REFERENCE MODEL IND; Schmidt B, 2010, LECT NOTES BUS INF, V46, P257; Schonherr M., 2004, ENTERPRISE ARCHITECT, V2, P3; van der Aalst WMP, 2003, LECT NOTES COMPUT SC, V2678, P1; VIJAYARAGHAVAN A, 2009, MTCONNECT REALTIME M; Walzer K., 2008, WORKSH FACT COMM SYS; Walzer K., 2007, P ACM 1 PHD WORKSH C, P93; Weske M, 2004, DATA KNOWL ENG, V50, P1, DOI 10.1016/j.datak.2004.01.001; Yuan ST, 2009, EXPERT SYST APPL, V36, P3671, DOI 10.1016/j.eswa.2008.02.024; Zhang Y. H., 2009, INT J CONTROL AUTOM, V2, P13; DROOLS EXPERT	40	4	4	0	2										2011	66						671	682															2024-11-02	WOS:000291848900061
